Index, Network Condition Level, Bandwidth (Mbps), Latency (ms), Jitter (ms), Set PLR (%), Mean_Throughput (Mbps), Max_Throughput (Mbps), Mean_Latency (ms), Max_Latency (ms), Mean Jitter (ms), Max_Jitter(ms), Measured PLR, PSNR(dB), SSIM, Task Time (s), Success_Flag（0/1）
238,high,1000,100,25,0.1,0.95,1.68,74.11,483.15,21.56,48.71,0.1%,23.117,0.924,106,1
239,high,1000,100,25,0.1,0.95,1.66,76.15,473.47,22.10,51.25,0.1%,24.938,0.936,109,1
240,high,1000,100,25,0.1,0.98,1.88,79.33,453.31,24.13,53.10,0.1%,23.880,0.938,102,1
241,high,1000,100,25,0.1,0.93,1.78,74.35,458.02,22.71,51.71,0.1%,24.068,0.931,98,1
242,high,1000,100,25,0.1,0.87,1.67,81.05,455.87,25.99,53.07,0.1%,23.489,0.926,129,1
243,high,1000,100,25,0.1,0.94,1.74,81.04,473.06,25.31,50.46,0.1%,23.247,0.927,138,1
244,high,1000,100,25,0.1,0.88,1.55,72.08,467.04,20.90,48.09,0.1%,23.122,0.925,126,1
245,high,1000,100,25,0.1,0.91,1.52,80.46,456.84,22.15,50.18,0.2%,23.025,0.938,N/A,0
246,high,1000,100,25,0.1,0.93,1.73,77.94,487.30,22.36,48.76,0.1%,25.373,0.924,145,1
247,high,1000,100,25,0.1,0.92,1.75,74.40,455.99,23.11,51.60,0.1%,23.912,0.936,138,1
248,high,1000,100,25,0.1,1.02,1.86,75.65,462.30,19.14,48.46,0.1%,25.022,0.917,135,1
249,high,1000,100,25,0.1,0.89,1.58,75.52,484.33,20.56,47.84,0.1%,24.633,0.934,113,1
250,high,1000,100,25,0.1,0.88,1.68,74.62,484.86,23.30,51.97,0.1%,24.779,0.925,133,1
251,high,1000,100,25,0.1,0.92,1.67,80.56,451.01,24.88,50.98,0.1%,23.975,0.924,115,1
252,high,1000,100,25,0.1,0.96,1.73,74.61,464.06,25.19,53.15,0.1%,24.224,0.928,96,1
253,high,1000,100,25,0.1,0.99,1.78,78.44,471.82,23.92,52.10,0.1%,24.668,0.937,150,1
254,high,1000,100,25,0.1,0.85,1.55,79.87,471.24,20.09,46.90,0.1%,24.813,0.923,118,1
255,high,1000,100,25,0.1,0.94,1.67,74.14,457.38,25.35,50.71,0.1%,23.715,0.937,90,1
256,high,1000,100,25,0.1,0.96,1.66,79.09,481.04,23.67,49.13,0.1%,24.514,0.938,120,1
257,high,1000,100,25,0.1,0.86,1.60,73.15,480.48,20.30,48.16,0.1%,24.902,0.922,148,1
258,high,1000,100,25,0.1,0.97,1.84,78.32,468.40,24.61,48.86,0.1%,23.263,0.933,87,1
259,high,1000,100,25,0.1,0.87,1.60,79.01,488.22,24.83,50.26,0.1%,24.030,0.925,92,1
260,high,1000,100,25,0.1,0.99,1.72,80.88,488.44,20.47,45.64,0.2%,23.213,0.925,N/A,0
261,high,1000,100,25,0.1,0.97,1.88,74.40,462.09,22.22,47.77,0.1%,24.391,0.929,105,1
262,high,1000,100,25,0.1,0.86,1.63,72.36,453.45,23.62,48.98,0.1%,23.662,0.925,146,1
263,high,1000,100,25,0.1,0.92,1.56,74.29,473.77,22.71,48.63,0.1%,23.589,0.921,108,1
264,high,1000,100,25,0.1,0.87,1.62,79.08,461.77,25.12,50.35,0.1%,25.392,0.925,83,1
265,high,1000,100,25,0.1,0.99,1.79,73.37,471.06,21.92,49.23,0.1%,24.244,0.940,118,1
266,high,1000,100,25,0.1,0.90,1.70,75.62,486.31,22.12,46.90,0.1%,23.793,0.924,96,1
267,high,1000,100,25,0.1,0.88,1.69,80.68,468.36,21.52,48.14,0.1%,24.696,0.922,113,1
268,high,1000,100,25,0.1,0.86,1.55,78.46,488.12,24.72,50.98,0.1%,23.031,0.930,136,1
269,high,1000,100,25,0.1,0.97,1.75,77.66,485.94,22.05,49.66,0.1%,23.999,0.924,92,1
270,high,1000,100,25,0.1,0.95,1.78,77.45,462.62,19.82,46.21,0.1%,25.264,0.934,132,1
271,high,1000,100,25,0.1,0.93,1.67,75.17,460.86,25.96,53.19,0.1%,23.456,0.939,146,1
272,high,1000,100,25,0.1,0.87,1.59,78.15,480.34,24.45,47.50,0.1%,24.579,0.921,125,1
273,high,1000,100,25,0.1,0.93,1.66,75.53,456.84,25.79,53.05,0.1%,24.207,0.925,88,1
274,high,1000,100,25,0.1,0.88,1.68,74.94,468.06,23.92,51.95,0.1%,24.001,0.934,100,1
275,high,1000,100,25,0.1,0.88,1.71,79.64,478.33,19.20,45.04,0.2%,23.567,0.928,N/A,0
276,high,1000,100,25,0.1,0.90,1.61,72.68,468.60,23.82,47.53,0.1%,24.756,0.936,117,1
277,high,1000,100,25,0.1,0.96,1.72,78.70,487.51,22.68,50.12,0.1%,23.665,0.939,116,1
278,high,1000,100,25,0.1,0.86,1.57,77.20,472.46,22.14,49.36,0.1%,24.068,0.933,138,1
279,high,1000,100,25,0.1,0.90,1.64,78.30,487.60,22.47,52.78,0.1%,25.414,0.928,93,1
280,high,1000,100,25,0.1,0.92,1.60,80.46,454.70,25.36,53.72,0.1%,24.083,0.932,84,1
281,high,1000,100,25,0.1,0.96,1.80,75.73,469.35,25.86,53.84,0.1%,23.726,0.928,140,1
282,high,1000,100,25,0.1,0.97,1.81,80.90,451.96,24.63,52.72,0.1%,24.755,0.931,135,1
283,high,1000,100,25,0.1,0.92,1.67,75.63,457.79,22.91,51.69,0.1%,24.362,0.927,104,1
284,high,1000,100,25,0.1,0.88,1.55,75.39,470.68,22.50,50.45,0.1%,24.360,0.920,83,1
285,high,1000,100,25,0.1,1.00,1.86,75.01,453.42,22.49,49.30,0.2%,25.500,0.924,N/A,0
286,high,1000,100,25,0.1,0.86,1.60,74.65,479.58,21.78,47.18,0.1%,24.686,0.931,121,1
287,high,1000,100,25,0.1,0.96,1.80,76.88,478.52,23.32,49.49,0.1%,23.718,0.925,92,1
288,high,1000,100,25,0.1,0.92,1.58,78.34,493.24,22.11,50.58,0.1%,23.115,0.936,118,1
289,high,1000,100,25,0.1,0.91,1.63,74.44,470.92,23.77,49.67,0.1%,24.524,0.928,111,1
290,high,1000,100,25,0.1,0.93,1.69,74.32,479.84,22.22,50.55,0.1%,24.163,0.926,150,1
291,high,1000,100,25,0.1,0.88,1.57,75.46,478.96,23.47,50.59,0.1%,25.113,0.924,130,1
292,high,1000,100,25,0.1,1.00,1.72,75.81,470.17,21.07,49.57,0.1%,25.075,0.928,82,1
293,high,1000,100,25,0.1,0.95,1.75,79.45,461.41,23.24,50.72,0.1%,23.715,0.936,126,1
294,high,1000,100,25,0.1,0.89,1.55,74.51,484.73,24.37,52.77,0.1%,23.243,0.933,86,1
295,high,1000,100,25,0.1,0.90,1.61,77.80,487.09,19.63,46.11,0.2%,23.439,0.923,N/A,0
296,high,1000,100,25,0.1,1.00,1.77,77.02,467.92,20.15,49.72,0.1%,25.418,0.926,124,1
297,high,1000,100,25,0.1,0.99,1.78,72.75,482.92,20.58,48.96,0.1%,23.994,0.937,127,1
298,high,1000,100,25,0.1,0.87,1.55,74.64,459.58,21.58,50.33,0.1%,23.953,0.933,128,1
299,high,1000,100,25,0.1,0.87,1.52,72.25,487.62,22.93,52.51,0.1%,23.158,0.936,119,1
300,high,1000,100,25,0.1,0.96,1.65,72.45,453.94,25.97,51.55,0.1%,24.344,0.928,128,1
